Time	eastMoving_arrvCarCount_noise	westMoving_arrvCarCount_noise	eastMoving_dptCarCount_noise	westMoving_dptCarCount_noise	westSideQueue	eastSideQueue	TrafficLight	phaseSigma	elapseTimeInGreen	carPassingTime_mean	eastMoving_arrvCarCount	westMoving_arrvCarCount	eastMoving_dptCarCount	westMoving_dptCarCount
5100.0	6	1	8	0	1	3	20	2.326944971105961	44.709297095089205	4.0	6	1	8	0
5130.0	5	5	3	5	3	1	0	4.828246977906627	19.064683464133104	4.0	4	4	3	5
5160.0	4	3	5	2	1	3	20	1.1088028427640784	21.503356081575898	4.0	4	3	5	2
5190.0	1	1	2	4	0	0	20	3.0664840508067432	0.7143802198042977	4.0	1	1	2	4
5220.0	6	4	5	2	2	1	0	2.1954737403102023	10.421366429209797	4.0	6	4	5	2
5250.0	6	4	5	3	2	3	20	3.6413668260978147	19.936004440099026	4.0	6	4	5	3
5280.0	2	1	5	2	0	1	0	1.0831938781806087	11.543269611661628	4.0	2	1	5	2
5310.0	4	1	3	3	0	0	20	4.159156803720701	7.805146225527368	4.0	4	1	3	3
5340.0	5	4	4	3	1	1	20	2.9847414268041543	13.704370436796541	4.0	5	4	4	3
5370.0	3	3	4	3	1	0	0	2.1871078072336063	2.4587222976806515	4.0	3	3	4	3
5400.0	4	2	4	3	0	0	20	2.5275898884903985	5.46395325157623	4.0	4	2	4	3
5430.0	5	9	3	4	3	3	0	0.23228632645944947	20.05303389631389	4.0	5	8	3	4
5460.0	7	1	4	4	5	1	20	2.4881997393909234	18.031038657096715	4.0	7	1	4	4
5490.0	3	4	7	0	1	4	20	1.8971770286692689	48.03103865709592	4.0	3	3	7	0
5520.0	5	2	3	4	4	1	0	1.356116570236047	19.879936904432054	4.0	5	2	3	4
5550.0	5	2	6	2	3	2	20	3.251936022087408	24.70641659715721	4.0	6	2	6	2
5580.0	6	5	8	0	0	7	20	3.045645287047054	54.70641659715684	4.0	5	5	8	0
5610.0	5	0	1	6	4	0	0	0.9346207630453667	26.954354712952945	4.0	4	0	1	6
5640.0	5	4	7	1	1	3	20	1.7445175922803378	29.065379236955597	4.0	5	3	7	1
5670.0	9	3	7	0	2	6	20	2.78649623446203	59.065379236955216	4.0	9	3	8	0
5700.0	1	6	3	5	1	5	0	3.8098273944194183	18.49807844125236	4.0	1	5	3	5
5730.0	4	3	0	8	7	1	0	1.6290538878179133	48.49807844125265	4.0	6	3	0	7
5760.0	5	4	6	2	5	4	20	1.7651847876070503	24.29639078239028	4.0	5	4	6	2
5790.0	5	4	6	0	2	9	20	3.0893996173642417	54.29639078238987	4.0	5	5	8	0
5820.0	2	4	5	2	0	10	0	2.2500719299001	10.286346637137672	4.0	2	4	5	2
5850.0	8	7	0	7	8	10	0	1.4715293380485237	40.28634663713692	4.0	8	7	0	7
5880.0	4	5	0	7	12	7	0	0.14386776236230325	70.2863466371365	4.0	4	4	0	7
5910.0	6	3	0	8	17	2	0	0.3489267513915375	100.28634663713619	4.0	5	3	0	8
